System,material_id,E per atom above ground state,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber
V2O3,mp-21579,0.3169332278499999,4.0,,5,2118.0,0.0,2.0,4.0,10.969965248232716,1.2,217.0
V2O5,mp-25279,0.0432806539523804,4.0,,7,972.0,0.0,2.0,3.4285714285714284,12.551321151285189,1.4285714285714286,217.0
Cr2O3,mp-19399,0.357628910199999,4.0,,5,2521.0,0.0,2.0,3.6,9.76733691397389,1.2,217.0
MnO2,mp-644514,0.290383901830066,4.0,,6,1499.0,0.0,2.0,3.0,9.62132250389411,1.3333333333333333,205.0
MnO,mp-1232659,0.1895578353499996,4.0,,4,1983.0,0.0,2.0,3.5,10.738201254842728,1.0,205.0
Mn2O3,mp-1172875,0.2016314287499998,4.0,,6,1912.0,0.0,2.0,3.2,11.113758759654797,1.2,205.0
FeO,mp-1274279,0.2802168815500003,4.0,,4,1982.0,0.0,2.0,3.0,10.62355960479301,1.0,217.0
Fe2O3,mp-19770,0.2089359719000008,4.0,,5,1881.0,0.0,2.0,2.8,10.311075301961129,1.2,217.0
CoO,mp-22408,0.3273432073000002,4.0,,4,2075.0,0.0,2.0,2.5,11.41145970697735,1.0,182.0
NiO,mp-19009,0.2945178474000007,4.0,,4,2173.0,0.0,2.0,2.0,9.17091681388321,1.0,213.0
ZnO,mp-2133,0.2065786409999992,4.0,43.497,4,2121.0,0.0,0.0,1.0,11.8492870649751,1.0,182.0
Ga2O3,mp-886,0.1698051682000008,4.0,76.469,5,2105.0,0.0,2.0,3.2,10.573376293730536,3.2,52.0
GeO2,mp-470,0.1058543581372548,4.0,138.048,6,1360.0,0.1702222222222222,2.0,2.6666666666666665,9.334043879715589,2.6666666666666665,213.0
Y2O3,mp-2652,0.2377568362999991,4.0,62.763,5,2677.0,0.0,2.0,4.8,14.920692272925162,1.2,182.0
ZrO2,mp-2858,0.1771249590196077,4.0,89.09,6,2899.0,0.0,2.0,4.0,11.805697110602315,1.3333333333333333,182.0
Nb2O5,mp-581967,0.1019525166598658,4.0,,7,1876.0,0.0,2.0,3.4285714285714284,14.662601818802,1.4285714285714286,217.0
MoO3,mp-715584,0.0777222129500003,4.0,,8,1075.0,0.0,2.0,3.0,13.519505055345066,1.5,217.0
In2O3,mp-22598,0.1888159369999993,4.0,57.396,5,2098.0,0.0,2.0,3.2,13.174492897705449,3.2,127.0
SnO2,mp-856,0.2657320683333335,4.0,97.241,6,2012.0,0.0,2.0,2.6666666666666665,12.136906512323106,2.6666666666666665,129.0
Sb2O3,mp-2136,0.0991924458000008,4.0,,5,1541.0,0.0,2.0,2.4,16.599243674926626,2.4,154.0
Sb2O5,mp-1705,0.1462876670476189,4.0,81.134,7,1794.0,0.0,2.0,2.2857142857142856,11.4944091691149,2.2857142857142856,154.0
TeO3,mp-1101301,0.1884627180500002,4.0,,8,1054.0,0.174,2.0,2.0,13.882669528325534,2.0,140.0
TeO2,mp-8377,0.0759424423529413,4.0,25.949,6,1022.0,0.2062222222222222,2.0,2.0,15.615076205911963,2.0,140.0
HfO2,mp-352,0.1913485002941186,4.0,103.557,6,2957.0,0.0,2.0,4.0,11.376381614199502,1.3333333333333333,182.0
Ta2O5,mp-1539317,0.1209583989047615,4.0,71.785,7,2085.0,0.0,2.0,3.4285714285714284,13.85690576737179,1.4285714285714286,217.0
WO3,mp-2383161,0.2028584942999991,4.0,,8,1772.0,0.0,2.0,3.0,14.337602576709996,1.5,217.0
La2O3,mp-1968,0.1465124861000006,4.0,47.955,5,2525.0,0.0,2.0,4.8,16.356773217045408,1.2,182.0
Li2S,mp-1153,0.1252649756862744,4.0,33.907,3,1647.0,0.9786666666666668,1.0,1.3333333333333333,15.193053391341875,0.6666666666666666,159.0
Na2S,mp-648,0.1124552782352941,4.0,19.193,3,1432.0,0.9786666666666668,1.0,1.3333333333333333,22.867559900045947,0.6666666666666666,159.0
MgS,mp-1315,0.1681310685000001,4.0,51.82,4,2339.0,1.101,0.0,1.0,17.66533335308533,1.0,124.0
Al2S3,mp-1228491,0.1207554205999992,4.0,,5,1364.0,1.05696,2.0,3.2,21.78118071913624,3.2,155.0
K2S,mp-1022,0.0973358449019605,4.0,9.905,3,1193.0,0.9786666666666668,1.0,1.3333333333333333,33.95902569497368,0.6666666666666666,159.0
CaS,mp-1672,0.2782412616999998,4.0,39.879,4,2581.0,1.101,0.0,1.0,23.20702876526364,1.0,155.0
Sc2S3,mp-401,0.1980539683999991,4.0,37.88,5,2222.0,1.05696,2.0,4.8,21.431385871831512,1.2,124.0
TiS,mp-1018028,0.3511527559000003,4.0,105.687,4,2282.0,1.101,2.0,5.0,14.870237544492056,1.0,124.0
TiS2,mp-2156,0.2248064226470587,4.0,26.289,6,1745.0,0.9786666666666668,2.0,4.0,20.385126383479825,1.3333333333333333,124.0
Ti2S3,mp-1101099,0.20935214,4.0,,6,2076.0,1.05696,2.0,4.4,17.470125582799305,1.2,124.0
VS2,mp-1013525,0.2232450538235291,4.0,27.686,6,1924.0,0.9786666666666668,2.0,3.6666666666666665,18.528042706207604,1.3333333333333333,159.0
Cr2S3,mp-555569,0.2685746093000016,4.0,,5,1845.0,1.05696,2.0,3.6,17.660390142171053,1.2,159.0
MnS,mp-2065,0.1445424749999997,4.0,35.804,4,1778.0,1.101,2.0,3.5,17.232643748471457,1.0,147.0
MnS2,mp-1422029,0.2155349485294113,4.0,16.699,6,1441.0,0.9786666666666668,2.0,3.0,21.30349160472776,1.3333333333333333,147.0
FeS,mp-505531,0.2565398623000003,4.0,33.829,4,1452.0,1.101,2.0,3.0,16.997849818626296,1.0,159.0
CuS,mp-555599,0.132089958299999,4.0,24.792,4,1319.0,1.101,1.0,1.5,16.695998095933096,1.0,155.0
ZnS,mp-554820,0.3131470415214288,4.0,,4,2002.0,1.101,0.0,1.0,19.54285558663752,1.0,124.0
Ga2S3,mp-539,0.21854189,4.0,23.604,5,1357.0,1.05696,2.0,3.2,21.9106108358102,3.2,6.0
GeS2,mp-572892,0.2352830394730389,4.0,,6,1102.0,0.8084444444444445,2.0,2.6666666666666665,27.34294515898241,2.6666666666666665,155.0
Y2S3,mp-541289,0.1401590706333335,4.0,31.194,5,1889.0,1.05696,2.0,4.8,23.91541596864251,1.2,124.0
ZrS2,mp-1186,0.2143159633333331,4.0,24.135,6,1757.0,0.9786666666666668,2.0,4.0,23.763033544184378,1.3333333333333333,124.0
In2S3,mp-22216,0.2827160913000011,4.0,,5,1360.0,1.05696,2.0,3.2,24.049710279976445,3.2,69.0
SnS2,mp-1170,0.189531241470588,4.0,19.781,6,1094.0,0.9786666666666668,2.0,2.6666666666666665,24.275405299034816,2.6666666666666665,71.0
SnS,mp-2231,0.1529490473999999,4.0,20.0,4,1150.0,1.101,2.0,3.0,25.540443545479764,3.0,71.0
Sb2S3,mp-2809,0.1671594544000001,4.0,13.058,5,937.0,1.05696,2.0,2.4,25.785395598507144,2.4,96.0
HfS2,mp-985829,0.2618506513725496,4.0,,6,1824.0,0.9786666666666668,2.0,4.0,23.15722098393303,1.3333333333333333,124.0
La2S3,mp-7475,0.1541016116000007,4.0,33.247,5,2195.0,1.05696,2.0,4.8,25.20939763057092,1.2,124.0
